,saga,books,number,finished
1044,TimeRiders,"['TimeRiders', 'Day of the Predator', 'The Eternal War', 'Gates of Rome']",4,No
1045,The Elenium,['The Diamond Throne'],1,No
1046,Once Upon a Con,['Geekerella'],1,No
1047,The League of Princes,"[""The Hero's Guide to Saving Your Kingdom""]",1,No
1048,The Legion,['Unbreakable'],1,No
1049,Sleeping Beauty,"[""Beauty's Punishment""]",1,No
1050,The Coldfire Trilogy,"['Black Sun Rising', 'Crown of Shadows', 'When True Night Falls']",3,Yes
1051,Galactic Milieu Trilogy,"['Magnificat', 'Jack the Bodiless', 'Diamond Mask']",3,Yes
1052,Crystal Singer,"['Crystal Singer', 'Killashandra']",2,No
1053,The Great Library,['Ink and Bone'],1,No
1054,Light,"['A Certain Slant of Light', 'Seers of Light']",2,Yes
1055,My Swordhand is Singing,"['My Swordhand is Singing', 'The Kiss of Death']",2,Yes
1056,The Cahill Witch Chronicles,"['Born Wicked', 'Star Cursed']",2,Yes
1057,The Austen Project,['Eligible: A Modern Retelling of Pride & Prejudice'],1,No
1058,Frostblood Saga,"['Frostblood', 'Fireblood']",2,Yes
1059,In the Garden,"['Blue Dahlia', 'Black Rose', 'Red Lily']",3,No
1060,The Legendsong,['Darkfall'],1,No
1061,The Candy Shop War,"['The Candy Shop War', 'Arcade Catastrophe']",2,No
1062,Remember Me,['Remember Me'],1,Yes
1063,Sandman Slim,"['Sandman Slim', 'Kill the Dead']",2,Yes
1064,Tales from the Shadowhunter Academy,['Welcome to Shadowhunter Academy'],1,No
1065,Ultraviolet,['Ultraviolet'],1,No
1066,Breathe,"['Breathe', 'Just Breathe']",2,Yes
1067,Crown of Stars,"[""King's Dragon"", 'Crown of Stars', 'Prince of Dogs', 'The Burning Stone', 'Child of Flame', 'The Gathering Storm', 'In the Ruins']",7,Yes
1068,Black Dagger Legacy,"['Blood Kiss', 'Blood Vow', 'Blood Fury', 'Blood Truth']",4,No
1069,Private,"['Private', 'Paradise Lost', 'Invitation Only', 'Untouchable', 'Confessions', 'Inner Circle', 'Ambition', 'Revelation', 'Legacy']",9,Yes
1070,Firefall,['Blindsight'],1,No
1071,Steel Brothers Saga,"['Craving', 'Obsession', 'Possession']",3,No
1072,Darkyn,"['If Angels Burn', 'Evermore', 'Dark Need', 'Private Demon', 'Stay the Night']",5,Yes
1073,Harper Connelly,"['Grave Sight', 'An Ice Cold Grave', 'Grave Surprise', 'Grave Secret']",4,Yes
1074,Emperor,"['The Gates of Rome', 'The Field of Swords', 'The Gods of War', 'The Death of Kings', 'The Blood of Gods']",5,No
1075,The Archers of Avalon,"['Anew', 'Awry']",2,No
1076,Star-Crossed,"['Endless Magic', 'Hopeless Magic', 'Fearless Magic']",3,Yes
1077,The Mists of Avalon,"['The High Queen', 'The King Stag']",2,No
1078,Der kleine Vampir,['The Little Vampire'],1,Yes
1079,The Kiss Quotient,"['The Kiss Quotient', 'The Bride Test']",2,Yes
1080,The Word & The Void,"['Running with the Demon', 'A Knight of the Word', 'Angel Fire East']",3,No
1081,Guardians of Time,"['The Named', 'The Dark', 'The Key']",3,No
1082,Beautiful Broken Things,['Beautiful Broken Things'],1,No
1083,Tattoo,['Tattoo'],1,No
1084,Faerie Path,"['The Faerie Path', 'The Enchanted Quest', 'The Immortal Realm', 'The Lost Queen', 'The Seventh Daughter', 'The Charmed Return']",6,No
1085,House of Night Novellas,"[""Dragon's Oath"", ""Neferet's Curse""]",2,Yes
1086,The Children of the Gods,['Dark Stranger: The Dream'],1,No
1087,The Witches of Karres,['The Witches of Karres'],1,Yes
1088,Vega Jane,"['The Finisher', 'The Keeper']",2,Yes
1089,Morpheus Road,"['The Light', 'The Blood', 'The Black']",3,Yes
1090,100 Cupboards,"['100 Cupboards', 'The Chestnut King']",2,Yes
1091,Fables (Collected Editions),"['Fables, Vol. 1: Legends in Exile', 'Fables, Vol. 15: Rose Red', 'Fables, Vol. 4: March of the Wooden Soldiers']",3,No
1092,Waking Up...,['Waking Up Married'],1,Yes
1093,Die Zwerge,"['The Dwarves', 'The War of the Dwarves', 'The Revenge of the Dwarves']",3,No
1094,The Sullivans,"['If You Were Mine', 'Kissing Under the Mistletoe', 'I Only Have Eyes for You', ""Can't Help Falling in Love""]",4,No
1095,Ravenwood Mysteries,['By Midnight'],1,Yes
1096,The Umbrella Academy,"['The Umbrella Academy, Vol. 1: The Apocalypse Suite', 'The Umbrella Academy, Vol. 2: Dallas']",2,No
1097,The Lost Fleet,"['Dauntless', 'Valiant']",2,No
1098,Zion Covenant,"['Danzig Passage', 'Vienna Prelude', 'Prague Counterpoint', 'Jerusalem Interlude', 'Munich Signature', 'Warsaw Requiem', 'London Refrain', 'Paris Encore', 'Dunkirk Crescendo']",9,No
1099,Ash Princess Trilogy,"['Ash Princess', 'Lady Smoke']",2,No
1100,The Riyria Chronicles,"['The Crown Tower', 'The Rose and the Thorn', 'The Death of Dulgath']",3,Yes
1101,Obsidian,['Black Obsidian'],1,No
1102,With Me in Seattle,['Come Away with Me'],1,Yes
1103,King Raven,['Hood'],1,No
1104,Winter Trilogy,['A Witch in Winter'],1,No
1105,KGI,"['The Darkest Hour', 'No Place to Run']",2,No
1106,Defy,"['Defy', 'Ignite']",2,Yes
1107,Shadowfell,['Shadowfell'],1,No
1108,Wings of Fire: Legends,['Darkstalker'],1,Yes
1109,Brainship,"['The Ship Who Sang', 'The Ship Who Won', 'The Ship Who Searched', 'PartnerShip', 'The City Who Fought']",5,Yes
1110,Grimnoir Chronicles,['Hard Magic'],1,Yes
1111,Monster Hunter International,['Monster Hunter International'],1,Yes
1112,Witch Child,"['Witch Child', 'Sorceress']",2,Yes
1113,Tamir Triad,"[""The Bone Doll's Twin"", 'Hidden Warrior', ""The Oracle's Queen""]",3,No
1114,The Auralia Thread,"[""Auralia's Colors""]",1,Yes
1115,Once Upon A Time,"['Reawakened', 'Shadow of the Queen']",2,Yes
1116,I'll Be There,"[""I'll Be There""]",1,No
1117,Heritage of Shannara,"['The Druid of Shannara', 'The Scions of Shannara', 'The Elf Queen of Shannara', 'The Talismans of Shannara']",4,Yes
1118,The Clockwork Century,['Boneshaker'],1,Yes
1119,October Daye,"['Late Eclipses', 'A Local Habitation', 'Ashes of Honor', 'One Salt Sea', 'An Artificial Night', 'Rosemary and Rue', 'The Winter Long', 'Chimes at Midnight', 'A Red-Rose Chain', 'Once Broken Faith']",10,Yes
1120,Age of X,['Gameboard of the Gods'],1,No
1121,The Faithful and the Fallen,"['Valor', 'Malice', 'Wrath', 'Ruin']",4,Yes
1122,Queen of Babble,['Queen of Babble'],1,No
1123,Bishop/Special Crimes Unit,"['Hiding in the Shadows', 'Chill of Fear', 'Hunting Fear', 'Sense of Evil', 'Whisper of Evil', 'Out of the Shadows', 'Hostage', 'Haunted', 'Haven', 'Touching Evil', 'Blood Dreams', 'Sleeping with Fear']",12,No
1124,The Witch Hunter,"['Hexed', 'The Witch Hunter', 'Charmed']",3,Yes
1125,Submissive,"['The Submissive', 'The Training', 'The Dominant', 'The Collar', 'Seduced By Fire']",5,Yes
1126,Game On,['The Hook Up'],1,Yes
1127,The Secret Circle,"['The Power', 'The Captive', 'The Initiation']",3,Yes
1128,Moonlight Bay,"['Fear Nothing', 'Seize the Night']",2,No
1129,Juliet Immortal,"['Juliet Immortal', 'Romeo Redeemed']",2,No
1130,Red Hill,['Red Hill'],1,Yes
1131,Austin Family Chronicles,['A Ring of Endless Light'],1,No
1132,The Land of Elyon,['The Dark Hills Divide'],1,Yes
1133,The Demon Trappers,['Forgiven'],1,No
1134,Pendergast,['Cemetery Dance'],1,No
1135,In Real Life,['In Real Life'],1,Yes
1136,Fly by Night,"['Fly by Night', 'Fly Trap']",2,No
1137,Ashfall,"['Ashfall', 'Ashen Winter']",2,Yes
1138,Mythos Academy,['Kiss of Frost'],1,Yes
1139,Talent Chronicles,"['Hush Money', ""Heroes 'Til Curfew""]",2,No
1140,Comanche,['Comanche Moon'],1,Yes
1141,Night World,"['Daughters of Darkness', 'The Chosen', 'Secret Vampire', 'Spellbinder', 'Soulmate', 'Dark Angel', 'Huntress', 'Witchlight', 'Black Dawn']",9,Yes
1142,The Glass Books,['The Glass Books of the Dream Eaters'],1,No
1143,Death Collectors,['Ember'],1,Yes
1144,Island in the Sea of Time,['Island in the Sea of Time'],1,No
1145,Jane Austen Heroes,"[""Mr. Darcy's Diary"", ""Captain Wentworth's Diary""]",2,Yes
1146,Amelia Peabody,['Crocodile on the Sandbank'],1,No
1147,Afterworlds,"['Afterworlds', 'The Book of Doom']",2,Yes
1148,The Blood Journals,"['Blood Magic', 'The Blood Keeper']",2,Yes
1149,The Bane Chronicles,"['What Really Happened in Peru', 'The Rise of the Hotel Dumort', 'The Fall of the Hotel Dumort', 'Saving Raphael Santiago']",4,No
1150,Sally Lockhart,"['The Ruby in the Smoke', 'The Shadow in the North', 'The Tiger in the Well', 'The Tin Princess']",4,Yes
1151,The Rain Wild Chronicles,['The Dragon Keeper'],1,No
1152,A Love Story,"['Bloodsucking Fiends', 'Bite Me', 'You Suck']",3,No
1153,Ranger's Apprentice: The Royal Ranger,['The Royal Ranger: A New Beginning'],1,Yes
1154,Daughters of the Moon,"['Into the Cold Fire', 'Goddess of the Night', 'The Prophecy', 'The Choice', 'The Talisman', 'The Becoming', 'The Final Eclipse', 'Night Shade', 'The Secret Scroll', 'The Sacrifice', 'The Lost One', 'Moon Demon', 'Possession']",13,Yes
1155,Lord Valentine,"[""Lord Valentine's Castle""]",1,No
1156,The Books of Mortals,['Forbidden'],1,Yes
1157,Kitty Norville,"['Kitty and the Midnight Hour', ""Kitty and the Dead Man's Hand"", 'Kitty Raises Hell', ""Kitty's House of Horrors"", 'Kitty Goes to Washington', 'Kitty Takes a Holiday', 'Kitty and the Silver Bullet']",7,No
1158,Dark Visions,"['The Strange Power', 'The Passion', 'The Possessed']",3,No
1159,The Mother-Daughter Book Club,"['Pies & Prejudice', 'Home for the Holidays', 'Dear Pen Pal', 'Wish You Were Eyre']",4,Yes
1160,The Sarantine Mosaic,"['Sailing to Sarantium', 'Lord of Emperors']",2,Yes
1161,Valdemar (Chronological),['Take a Thief'],1,Yes
1162,Finding Anna,"['Slave', 'Need', 'Truth']",3,No
1163,Hourglass Door,"['The Hourglass Door', 'The Golden Spiral', 'The Forgotten Locket']",3,Yes
1164,Dead Is,"['Dead Is So Last Year', 'Dead Is a State of Mind', 'Dead Is a Killer Tune', 'Dead is a Battlefield']",4,No
1165,Psychic Eye Mystery,"['Abby Cooper, Psychic Eye', 'A Glimpse of Evil', 'Deadly Forecast', 'Lethal Outlook', 'Vision Impossible', 'Doom with a View', 'Crime Seen']",7,Yes
1166,Bevelstoke,"['What Happens in London', 'Ten Things I Love About You', 'The Secret Diaries of Miss Miranda Cheever']",3,No
1167,Split Second,['Split Second'],1,No
1168,Fairy Tales,"['A Kiss at Midnight', 'The Black Swan', 'When Beauty Tamed the Beast', 'Firebird']",4,Yes
1169,Chesapeake Bay Saga,"['Inner Harbor', 'Sea Swept', 'Chesapeake Blue', 'Rising Tides']",4,Yes
1170,How to Ruin,"['How to Ruin a Summer Vacation', 'How to Ruin My Teenage Life']",2,No
1171,Pastwatch,['Pastwatch: The Redemption of Christopher Columbus'],1,Yes
1172,The Wolfsangel Cycle,"['Wolfsangel', 'Fenrir']",2,No
1173,Lucky Santangelo,"['Lucky', 'Chances', 'Drop Dead Beautiful', 'Lady Boss', 'Dangerous Kiss']",5,Yes
1174,Unraveling,"['Unraveling', 'Unbreakable']",2,Yes
1175,The Books of the Raksura,"['The Cloud Roads', 'The Serpent Sea', 'The Siren Depths', 'The Harbors of the Sun']",4,No
1176,Ember,['Ember'],1,Yes
1177,Elixir,"['Elixir', 'Devoted', 'True']",3,Yes
1178,Crewel World,['Crewel'],1,No
1179,Fins,"['Fins Are Forever', 'Just for Fins']",2,Yes
1180,Brotherhood of the Sword & MacAllister,"['Born in Sin', 'Claiming the Highlander', 'A Dark Champion', 'Taming the Scotsman', 'The Warrior', 'Master of Desire']",6,No
1181,Dirk Pitt,"['Atlantis Found', 'Trojan Odyssey', 'Vixen 03']",3,Yes
1182,The Sharing Knife,"['Passage', 'Horizon', 'Beguilement', 'Legacy']",4,No
1183,Mordant's Need,"['The Mirror of Her Dreams', 'A Man Rides Through']",2,No
1184,Rutshire Chronicles,['Riders'],1,Yes
1185,The Wintergrave Chronicles,['The Execution'],1,No
1186,Winds of Change,"['A Hope Undaunted', 'A Heart Revealed', 'A Love Surrendered']",3,Yes
1187,Night Calls,['That First Kiss'],1,Yes
1188,Labirinty Ekho,['The Stranger'],1,No
1189,A Saga of the Ancient Family,"['The Immortal Collection', 'The Sons of Adam']",2,No
1190,The Cat's Eye Chronicles,"[""Sora's Quest"", ""Viper's Creed""]",2,Yes
1191,The Dragonian,"['Thunderlight', 'Frostbite']",2,No
1192,Wraith Kings,['Radiance'],1,Yes
1193,Ram Chandra,"['Scion of Ikshvaku', 'Sita: Warrior of Mithila']",2,Yes
1194,The Band,['Kings of the Wyld'],1,Yes
1195,Sea of Trolls,"['The Sea of Trolls', 'The Islands of the Blessed', 'The Land of the Silver Apples']",3,Yes
1196,Battle Angel Alita / Gunnm,"['Battle Angel Alita', 'Battle Angel Alita, Volume 02: Tears of an Angel', 'Battle Angel Alita, Volume 03: Killing Angel', 'Battle Angel Alita, Volume 04: Angel of Victory', 'Angel of Redemption', 'Battle Angel Alita, Volume 07: Angel Of Chaos', 'Battle Angel Alita, Volume 08: Fallen Angel', ""Battle Angel Alita, Volume 09: Angel's Ascension""]",8,Yes
1197,Forest Kingdom,['Blue Moon Rising'],1,No
1198,Legacy,"['Legacy', 'Sacrifice', 'Allegiance', 'Legacy']",4,No
1199,Air Awakens,['Air Awakens'],1,No
1200,Eight Cousins,['Rose in Bloom'],1,No
1201,Like Us,"['Damaged Like Us', 'Alphas Like Us']",2,No
1202,Vampire Empire,['The Greyfriar'],1,Yes
1203,Trilogia Victoriana,"['The Map of Time', 'The Map of the Sky']",2,No
1204,Paper Gods,['Ink'],1,Yes
1205,Photographer Trilogy,"['Untainted', 'Tainted Pictures', 'Tainted Bodies']",3,Yes
1206,Molly Moon,"[""Molly Moon's Incredible Book of Hypnotism"", 'Molly Moon Stops the World', ""Molly Moon's Hypnotic Time Travel Adventure""]",3,Yes
1207,Frozen Charlotte,['Frozen Charlotte'],1,No
1208,Hearts in Darkness,['Hearts in Darkness'],1,Yes
1209,Forbidden Rockers,"[""Logan's Story""]",1,Yes
1210,Until the End of the World,"['And After', 'Until the End of the World']",2,Yes
1211,The Near Witch,['The Near Witch'],1,Yes
1212,Pandava Quartet,"['Aru Shah and the End of Time', 'Aru Shah and the Song of Death']",2,Yes
1213,Winterhaven,"['Haven', 'Mirage']",2,No
1214,The Goblin Emperor,['The Goblin Emperor'],1,No
1215,The Watchmaker of Filigree Street,['The Watchmaker of Filigree Street'],1,No
1216,The Fitz and The Fool Trilogy,"[""Fool's Quest"", ""Assassin's Fate"", ""Fool's Assassin""]",3,No
1217,Mercy,['Mercy'],1,No
1218,The Carrie Diaries,"['The Carrie Diaries', 'Summer and the City']",2,Yes
1219,The Last Dragonslayer,['The Last Dragonslayer'],1,No
1220,Acorna,['Acorna: The Unicorn Girl'],1,No
1221,Reapers,"['The Reapers are the Angels', 'Exit Kingdom', 'The Time of the Reaper']",3,No
1222,Something Like,"['Something Like Summer', 'Something Like Winter']",2,No
1223,Zeroes,"['Zeroes', 'Nexus', 'Swarm']",3,Yes
1224,Love & Gelato,"['Love & Gelato', 'Love & Luck']",2,No
1225,The Queen's Rising,"[""The Queen's Rising""]",1,Yes
1226,Themis Files,['Only Human'],1,Yes
1227,Wilde Island Chronicles,"[""Dragon's Keep"", 'Dragonswood', 'In the Time of Dragon Moon']",3,Yes
1228,No Safety in Numbers,"['No Safety in Numbers', 'No Easy Way Out']",2,Yes
1229,Amulet,"[""The Stonekeeper's Curse"", 'The Cloud Searchers', 'Prince of the Elves', 'The Stonekeeper', 'The Last Council']",5,No
1230,The Pace,['The Pace'],1,No
1231,WVMP Radio,['Wicked Game'],1,Yes
1232,The Edge Chronicles (chronological),"['Beyond the Deepwoods', 'The Edge Chronicles 10: The Immortals: The Book of Nate']",2,Yes
1233,Mind Readers,"['The Mind Readers', 'The Mind Games']",2,No
1234,The 39 Clues,['Vespers Rising'],1,Yes
1235,Freehold,['Freehold'],1,No
1236,Infected,['Infected'],1,No
1237,The Omen,['The Omen'],1,Yes
1238,Puddle Jumping,['Puddle Jumping'],1,No
1239,The Crown's Game,"[""The Crown's Game"", ""The Crown's Fate""]",2,No
1240,Full Tilt,['Full Tilt'],1,Yes
1241,Serpent & Dove,['Serpent & Dove'],1,Yes
1242,Talented Saga,['Talented'],1,No
1243,Fairy Tail,"['Fairy Tail, Vol. 01']",1,Yes
1244,Estill County Mountain Man,['Beast'],1,Yes
1245,Moorehawke Trilogy,"['The Poison Throne', 'The Rebel Prince']",2,Yes
1246,Lessons in Love,"[""England's Perfect Hero"", 'The Rake', ""London's Perfect Scoundrel""]",3,No
1247,Anna Bloom,['Get Well Soon'],1,Yes
1248,Courtney,['Monsoon'],1,No
1249,Geek Girl,"['Geek Girl', 'Model Misfit']",2,No
1250,The Daoshi Chronicles,['The Girl with Ghost Eyes'],1,No
1251,The Medoran Chronicles,['Akarnae'],1,No
1252,Monere: Children of the Moon,"['Mona Lisa Craving', 'Mona Lisa Awakening', 'Mona Lisa Blossoming', 'Mona Lisa Darkening']",4,No
1253,The Ghost Bird,['First Days'],1,Yes
1254,Web of Hearts and Souls,['Insight'],1,Yes
1255,Furthermore,"['Furthermore', 'Whichwood']",2,Yes
1256,Legends of the Guardian-King,"['The Light of Eidon', 'Shadow Over Kiriath', 'Return of the Guardian-King', 'The Shadow Within']",4,Yes
1257,The Keatyn Chronicles,['Stalk Me'],1,No
1258,Chronicles of The One,['Year One'],1,Yes
1259,Wicked,['Resurrection'],1,Yes
1260,Dragon Age,"['The Stolen Throne', 'The Calling', 'Asunder']",3,Yes
1261,Naamah Trilogy,"[""Naamah's Blessing"", ""Naamah's Curse"", ""Naamah's Kiss""]",3,No
1262,Les Rougon-Macquart,"[""The Ladies' Paradise""]",1,Yes
1263,Solitaire,['Solitaire'],1,No
1264,Magonia,['Magonia'],1,No
1265,Left Drowning,"['Left Drowning', 'Restless Waters']",2,Yes
1266,This is Not a Test,['This is Not a Test'],1,No
1267,The Icemark Chronicles,"['The Cry of the Icemark', 'Last Battle of the Icemark']",2,Yes
1268,If I Break,"['Almost Broken', 'If I Break', 'Beautifully Broken']",3,Yes
1269,Kindrily,['Grasping at Eternity'],1,Yes
1270,House of Secrets,['House of Secrets'],1,Yes
1271,Children of Eden,"['Children of Eden', 'Elites of Eden']",2,Yes
1272,The Divine Cities,"['City of Stairs', 'City of Blades']",2,No
1273,The City Trilogy,"['Procession of the Dead', ""Hell's Horizon""]",2,No
1274,Not a Drop to Drink,['Not a Drop to Drink'],1,No
1275,Zom-B,"['Zom-B', 'Zom-B Angels']",2,Yes
1276,Laundry Files,"['The Atrocity Archives', 'The Delirium Brief', 'The Nightmare Stacks', 'The Rhesus Chart']",4,No
1277,L.A. Candy,"['L.A. Candy', 'Sugar and Spice', 'Sweet Little Lies']",3,No
1278,Unremembered,"['Unremembered', 'Unchanged']",2,No
1279,A Shade of Vampire,"['A Shade of Vampire', 'A Soldier of Shadows', 'A Fork of Paths', 'A Gate of Night', 'A Shade of Blood', 'A Break of Day', 'A House of Mysteries', 'A Gift of Three', 'A Tip of Balance', 'A Shield of Glass', 'A Tide of War', 'A Throne of Fire', 'A Rip of Realms', 'A Power of Old', 'An Empire of Stones', 'A King of Shadow', 'A Tangle of Hearts', 'A Sword of Chance', 'A Game of Risk', 'A Dawn of Guardians', 'An Hour of Need', 'A Spell of Time', 'A Chase of Prey', 'A Turn of Tides', 'A Dawn of Strength', 'A Fall of Secrets', 'A Wind of Change', 'A Hero of Realms', 'A Vial of Life', 'A Flight of Souls', 'A Bridge of Stars', 'A Trail of Echoes', 'A Clan of Novaks', 'A Web of Lies', 'A World of New', 'A Touch of Truth', 'A Twist of Fates', 'A Day of Glory', 'A Bond of Blood', 'A Shade of Doubt', 'A Shade of Novak', 'A Shadow of Light', 'A Castle of Sand', 'A Clash of Storms']",44,Yes
1280,Sky Chasers,"['Spark', 'Glow', 'Flame']",3,No
1281,Matt Cruse,"['Skybreaker', 'Starclimber']",2,No
1282,Addicted,"['Addicted to You', 'Addicted']",2,No
1283,Doran,"['Wise Child', 'Juniper', 'Colman']",3,Yes
1284,Jackaby,"['Jackaby', 'Beastly Bones']",2,No
1285,Unfinished Hero,['Deacon'],1,Yes
1286,The Paper Magician,['The Paper Magician'],1,Yes
1287,Ashbury/Brookfield,"['The Year of Secret Assignments', 'Feeling Sorry for Celia']",2,No
1288,Spellsinger,['Spellsinger'],1,No
1289,Devon Delaney,['The Secret Identity of Devon Delaney'],1,No
1290,The Vicious Deep,"['The Vicious Deep', 'The Savage Blue', 'The Vast and Brutal Sea']",3,No
1291,Spring Towers,['A Different Kind Of Fairy Tale'],1,No
1292,Honor Harrington,"['On Basilisk Station', 'The Honor of the Queen', 'Flag in Exile', 'In Enemy Hands']",4,No
1293,The Fallen World,"['The Queen of All that Dies', 'The Queen of Traitors']",2,Yes
1294,Chronicles of the Warlands,"['Warlord', 'Warprize', 'Warsworn']",3,Yes
1295,Dork Diaries,"['Tales from a Not-So-Smart Miss Know-It-All', 'Tales from a Not-So-Popular Party Girl', 'Tales from a Not-So-Happy Heartbreaker', 'Tales from a Not-So-Glam TV Star', 'Tales from a Not-So-Happily Ever After!', 'Tales from a Not-So-Friendly Frenemy']",6,Yes
1296,The False Princess,['The False Princess'],1,No
1297,Fall Away,"['Aflame', 'Falling Away']",2,No
